Words,Frequencies,Percentage (%)
you,234,6.31238198
lysistrata,169,4.558942541
your,103,2.778527111
what,88,2.37388724
my,84,2.265983275
if,74,1.996223361
women,69,1.861343404
o,67,1.807391422
me,64,1.726463448
myrrhine,62,1.672511465
will,61,1.645535473
men,59,1.591583491
out,57,1.537631508
calonice,56,1.510655517
now,55,1.483679525
i'll,55,1.483679525
are,55,1.483679525
magistrate,55,1.483679525
do,53,1.429727542
cinesias,52,1.402751551
here,50,1.348799568
from,50,1.348799568
how,47,1.267871594
come,47,1.267871594
them,45,1.213919612
up,42,1.132991637
there,41,1.106015646
woman,40,1.079039655
can,38,1.025087672
